
************************************************************************************************************************************************
Start to print log. Process ID[8763]
03:02:56.557|E|8834   |Entry |Initialize     |
03:02:56.559|E|8834   |GME   |GetCurJniEnv   |failed to GetJniEnv result = -2
03:02:56.560|E|8834   |Entry |PrintSDKInfo   |SDKVersion[2.5.7.29f7fe9f@403(39256064)]
03:02:56.560|E|8834   |Entry |PrintSDKInfo   |Platform[Android.arm64-v8a]
03:02:56.560|E|8834   |GMEWWi|GMEWWisePlugin_|GMEWWisePlugin Version=2.5.6@Apr 16 2024@v2022.1.12
03:02:56.563|E|8834   |Entry |SetAppID       |sdkAppID[1500000152]
03:02:56.563|E|8834   |Entry |SetAuthKey     |authKeyLen[16]
03:02:56.588|E|8836   |GMESes|Init           |Session Init [48000, 32, 8, 1, 1] [2, 1, 3]
03:02:56.589|E|8836   |Entry |RefPlayout     |refPlayout[1] current[0,0]
03:02:56.589|E|8836   |Entry |EnablePlayout  |playout[1]
03:02:56.589|E|8838   |Device|SetScene       |scene[7]
03:02:56.591|E|8838   |Device|InitAudEngine  |
03:02:56.606|E|8838   |TRAE  |StartEngine    |StartEngine, AudioDeviceGetStat: 2
03:02:56.634|E|8841   |GMEJav|nativeWriteLog |[TRAEJava]call_preprocess_media done!
03:02:56.635|E|8838   |TRAE  |onEngineStart  |CALL isEngineReady:N isJitterReady:Y isCapReady:N isRndReady:N 
03:02:56.635|E|8838   |TRAE  |EnableMic      |[CQTTopo]EnableMic: off 
03:02:56.635|E|8838   |TRAE  |EnableSpeaker  |[CQTTopo]EnableSpeaker: on 
03:03:06.591|E|8842   |TRAE  |OutdevMeter    |OutdevMeter[0,0,0,0,0] S[7]
03:03:16.571|E|8842   |TRAE  |OutdevMeter    |OutdevMeter[0,0,0,0,0] S[7]
03:03:25.660|E|8836   |GMESes|Term           |Session Term
03:03:25.660|E|8836   |Entry |RefPlayout     |refPlayout[0] current[0,1]
03:03:25.660|E|8836   |Entry |EnablePlayout  |playout[0]
03:03:25.670|E|8838   |Device|SetScene       |scene[7]
03:03:25.670|E|8838   |Device|UninitAudEngine|Begin
03:03:25.715|E|8838   |TRAE  |InternalUninitE|TRAE: UninitEngine() [0xf60080] 
03:03:25.717|E|8838   |Device|UninitAudEngine|End
03:03:25.718|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 1, Accompany already exit 
03:03:25.718|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 2, Accompany already exit 
03:03:25.718|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 3, Accompany already exit 
03:03:25.718|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 4, Accompany already exit 
03:03:25.718|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 5, Accompany already exit 
03:03:25.718|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 6, Accompany already exit 
03:03:25.718|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 7, Accompany already exit 
03:03:25.718|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 8, Accompany already exit 
03:03:25.718|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 9, Accompany already exit 
03:03:25.718|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 10, Accompany already exit 
03:03:25.718|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 0, Accompany already exit 
03:03:39.150|E|8836   |GMESes|Init           |Session Init [48000, 32, 8, 1, 1] [2, 1, 3]
03:03:39.151|E|8836   |Entry |RefPlayout     |refPlayout[1] current[0,0]
03:03:39.151|E|8836   |Entry |EnablePlayout  |playout[1]
03:03:39.154|E|8838   |Device|SetScene       |scene[7]
03:03:39.154|E|8838   |Device|InitAudEngine  |
03:03:39.159|E|8838   |TRAE  |StartEngine    |StartEngine, AudioDeviceGetStat: 2
03:03:39.170|E|8838   |TRAE  |onEngineStart  |CALL isEngineReady:N isJitterReady:Y isCapReady:N isRndReady:N 
03:03:39.170|E|8838   |TRAE  |EnableMic      |[CQTTopo]EnableMic: off 
03:03:39.170|E|8838   |TRAE  |EnableSpeaker  |[CQTTopo]EnableSpeaker: on 
03:03:39.170|E|9194   |GMEJav|nativeWriteLog |[TRAEJava]call_preprocess_media done!
03:03:49.110|E|9195   |TRAE  |OutdevMeter    |OutdevMeter[0,0,0,0,0] S[7]
03:03:59.090|E|9195   |TRAE  |OutdevMeter    |OutdevMeter[0,0,0,0,0] S[7]
03:04:09.080|E|9195   |TRAE  |OutdevMeter    |OutdevMeter[0,0,0,0,0] S[7]
03:04:19.099|E|9195   |TRAE  |OutdevMeter    |OutdevMeter[0,0,0,0,0] S[7]
03:04:29.089|E|9195   |TRAE  |OutdevMeter    |OutdevMeter[0,0,0,0,0] S[7]
